CTFIPS,Average of DS_PM_pred
48113018156,8.832827869
48113018157,8.832398907
48113018158,8.719404372
48113018159,8.749669399
48113018203,8.84739071
48113018204,8.859144809
48113018205,8.844098361
48113018206,8.850486339
48113018300,8.867786885
48113018401,8.865663934
48113018402,8.856568306
48113018403,8.853934426
48113018501,8.889008197
48113018505,8.91734153
48113018506,8.900278689
48113018507,8.917153005
48113018508,8.909811475
48113018600,8.884557377
48113018700,8.871153005
48113018801,8.883557377
48113018802,8.884508197
48113018900,8.90031694
48113019013,8.907581967
48113019016,8.930188525
48113019018,8.925535519
48113019019,8.920013661
48113019020,8.919196721
48113019023,8.933907104
48113019024,8.924038251
48113019025,8.894530055
48113019026,8.891740437
48113019027,8.92113388
48113019028,8.930461749
48113019029,8.92379235
48113019031,8.947177596
48113019032,8.93010929
48113019033,8.917057377
48113019034,8.928786885
48113019035,8.922642077
48113019036,8.959516393
48113019037,8.94018306
48113019039,8.941579235
48113019040,8.944551913
48113019041,8.938084699
48113019042,8.925437158
48113019044,8.927677596
48113019045,8.921721311
48113019046,8.910289617
48113019047,8.91129235
48113019048,8.907590164
48113019049,8.914868852
48113019050,8.909360656
48113019051,8.88231694
48113019052,8.970448087
48113019053,8.958915301
48113019101,8.955445355
48113019102,8.957751366
48113019202,8.956756831
48113019203,8.962136612
48113019205,8.98507377
48113019208,8.946464481
48113019210,8.972240437
48113019211,8.960540984
48113019212,8.945016393
48113019213,8.951584699
48113019214,8.960784153
48113019215,8.972584699
48113019216,8.961636612
48113019301,8.881959016
48113019302,8.868931694
48113019400,8.876590164
48113019501,8.877289617
48113019502,8.866469945
48113019600,8.864027322
48113019700,8.859874317
48113019800,8.858418033
48113019900,8.852617486
48113020000,8.955729508
48113020100,8.878663934
48113020200,8.762308743
48113020300,8.828751366
48113020401,8.842844262
48113020402,8.83597541
48113020500,8.838092896
48113020600,8.896743169
48113020700,8.983352459
48113020800,8.822038251
48113020900,8.828338798
48113021000,8.822863388
48113021100,8.815120219
48113021200,8.886
48113980000,8.971407104
48113980100,8.855650273
48113980200,8.982754098
48121020109,8.901994536
48121020110,8.897718579
48121020111,8.919642077
48121020112,8.900893443
48121020115,8.812554645
48121020116,8.661486339
48121020117,8.590483607
48121020118,8.52620765
48121020119,8.86657377
48121020120,8.885172131
48121020121,8.649721311
48121020122,8.755953552
48121020123,8.749101093
48121020124,8.80592623
48121020125,8.815532787
48121020126,8.85665847
48121020127,8.878601093
48121020128,8.841229508
48121020129,8.672147541
48121020130,8.777737705
48121020131,8.712019126
48121020132,8.886338798
48121020133,8.860289617
48121020134,8.853726776
48121020135,8.821674863
48121020136,8.813956284
48121020137,8.807254098
48121020203,8.409218579
48121020204,8.337893443
48121020205,8.504445355
48121020206,8.270420765
48121020207,8.327387978
48121020208,8.280918033
48121020305,8.840434426
48121020310,8.395199454
48121020311,8.816254098
48121020312,8.772677596
48121020313,8.39236612
48121020314,8.530453552
48121020315,8.705896175
48121020316,8.588502732
48121020317,8.633685792
48121020318,8.506737705
48121020319,8.606672131
48121020320,8.692295082
48121020321,8.782718579
48121020322,8.735254098
48121020402,8.382674863
48121020403,8.400439891
48121020404,8.383838798
48121020405,8.314855191
48121020504,8.44439071
48121020505,8.489863388
48121020506,8.548822404
48121020507,8.452229508
48121020508,8.451095628
48121020601,8.471185792
48121020603,8.48936612
48121020604,8.512352459
48121020605,8.543680328
48121020700,8.418281421
48121020800,8.391942623
48121020900,8.418330601
48121021000,8.442459016
48121021100,8.460502732
48121021202,8.510494536
48121021203,8.542789617
48121021204,8.588008197
48121021301,8.48947541
48121021304,8.534795082
48121021305,8.537516393
48121021306,8.584535519
48121021307,8.611603825
48121021410,8.766393443
48121021411,8.850442623
48121021412,8.728166667
48121021413,8.761349727
48121021414,8.632398907
48121021415,8.635868852
48121021416,8.649606557
48121021417,8.665997268
48121021418,8.661721311
48121021419,8.709245902
48121021420,8.70739071
48121021421,8.735778689
48121021422,8.584229508
48121021423,8.633349727
48121021502,8.905360656
48121021505,8.867221311
48121021512,8.706882514
48121021513,8.824778689
48121021514,8.815980874
48121021516,8.947942623
48121021517,8.953644809
48121021518,8.965010929
48121021520,8.974374317
48121021521,8.973743169
48121021522,8.960431694
48121021526,8.937956284
48121021528,8.935494536
48121021529,8.913860656
48121021530,8.986191257
48121021531,8.981877049
48121021532,8.990625683
48121021533,8.976581967
48121021534,8.930478142
48121021535,8.924453552
48121021536,8.904289617
48121021537,8.891502732
48121021538,8.960710383
48121021539,8.937032787
48121021540,8.951237705
48121021611,8.995180328
48121021612,9.000554645
48121021613,8.998803279
48121021614,8.99718306
48121021615,8.991368852
48121021616,9.000595628
48121021618,8.92134153
48121021619,8.966543716
48121021620,8.989737705
48121021621,9.00063388
48121021622,8.996770492
48121021626,8.999699454
48121021630,8.993530055
48121021631,8.996172131
48121021632,9.003286885
48121021633,9.002122951
48121021634,9.000379781
48121021635,9.008614754
48121021637,9.005497268
48121021638,8.994565574
48121021639,8.996439891
48121021640,8.995969945
48121021641,9.000877049
48121021642,9.00181694
48121021643,8.995745902
48121021644,8.993653005
48121021645,8.96657377
48121021646,8.981254098
48121021647,9.009204918
48121021648,9.001871585
48121021649,8.993983607
48121021650,8.989691257
48121021651,9.001297814
48121021652,8.986931694
48121021653,8.990259563
48121021654,8.983270492
48121021655,8.989448087
48121021715,8.876612022
48121021716,8.902379781
48121021717,8.886229508
48121021719,8.774289617
48121021720,8.853912568
48121021721,8.866437158
48121021722,8.880210383
48121021723,8.920781421
48121021724,8.904519126
48121021725,8.896562842
48121021726,8.925969945
48121021727,8.937754098
48121021728,8.956396175
48121021729,8.930532787
48121021730,8.9395
48121021731,8.944773224
48121021732,8.952478142
48121021733,8.959893443
48121021734,8.961726776
48121021735,8.965281421
48121021736,8.961800546
48121021737,8.963579235
48121021738,8.98123224
48121021739,8.961081967
48121021740,8.941734973
48121021741,8.928472678
48121021742,8.913530055
48121021743,8.90597541
48121021744,8.925079235
48121021745,8.930494536
48121021746,8.804259563
48121021748,8.852374317
48121021749,8.815784153
48121021750,8.863229508
48121021751,8.869019126
48121021752,8.884502732
48121021754,8.69986612
48121021755,8.727601093
48121021756,8.923461749
48121021757,8.89976776
48121021758,8.837844262
48121021759,8.86826776
48121021800,8.999005464
48121021900,8.981754098
48139060103,8.619068306
48139060104,8.512688525
48139060105,8.431169399
48139060106,8.551625683
48139060206,8.704284153
48139060207,8.678680328
48139060209,8.694745902
48139060211,8.627527322
48139060212,8.631857923
48139060215,8.707357923
48139060216,8.746669399
48139060217,8.566210383
48139060218,8.643486339
48139060219,8.674311475
48139060220,8.709404372
48139060221,8.725013661
48139060300,8.571513661
48139060400,8.521953552
48139060500,8.559092896
48139060601,8.593363388
48139060602,8.59079235
48139060702,8.721248634
48139060704,8.742338798
48139060801,8.643554645
48139060802,8.624715847
48139060803,8.693819672
48139060900,8.482691257
48139061000,8.339095628
48139061100,8.444650273
48139061200,8.310308743
48139061300,8.402448087
48139061401,8.386262295
48139061402,8.400699454
48139061500,8.332677596
48139061600,8.354005464
48139061700,8.284169399
48231960100,8.259196721
48231960200,8.340046448
48231960300,8.39739071
48231960400,8.306729508
48231960500,8.219412568
48231960600,8.228855191
48231960700,8.19036612
48231960800,8.318825137
48231960900,8.306325137
48231961000,8.277497268
48231961101,8.23454918
48231961102,8.216713115
48231961200,8.265628415
48231961300,8.294202186
48231961401,8.353666667
48231961402,8.400540984
48231961501,8.330721311
48231961502,8.347038251
48231961503,8.21397541
48231961600,8.174598361
48231961700,8.153008197
48251130100,8.327882514
48251130205,8.674560109
48251130210,8.53010929
48251130211,8.588581967
48251130212,8.525540984
48251130213,8.472090164
48251130214,8.545120219
48251130215,8.604062842
48251130216,8.657653005
48251130217,8.648770492
48251130218,8.665226776
48251130219,8.62204918
48251130220,8.67370765
48251130221,8.638191257
48251130222,8.653688525
48251130302,8.432180328
48251130303,8.463696721
48251130304,8.465448087
48251130405,8.708565574
48251130406,8.652155738
48251130411,8.655185792
48251130412,8.665254098
48251130413,8.529401639
48251130414,8.468519126
48251130415,8.535385246
48251130416,8.602877049
48251130417,8.52592623
48251130418,8.758286885
48251130419,8.718128415
48251130501,8.41754918
48251130502,8.339513661
48251130602,8.168822404
48251130603,8.340030055
48251130604,8.174901639
48251130700,8.411071038
48251130800,8.428825137
48251130900,8.428306011
48251131000,8.375756831
48251131100,8.388893443
48257050204,8.565688525
48257050207,8.675153005
48257050208,8.65415847
48257050209,8.601275956
48257050210,8.607726776
48257050211,8.544754098
48257050212,8.523538251
48257050213,8.565874317
48257050214,8.610068306
48257050215,8.593508197
48257050300,8.445920765
48257050401,8.368857923
48257050402,8.408016393
48257050500,8.414581967
48257050601,8.373811475
48257050602,8.239797814
48257050701,8.416404372
48257050703,8.163934426
48257050704,8.230191257
48257050801,8.359412568
48257050802,8.387112022
48257051000,8.304997268
48257051100,8.298210383
48257051201,8.136680328
48257051202,8.215521858
48257051301,8.084636612
48257051302,8.145765027
48367140101,8.206060109
48367140102,8.150786885
48367140201,8.121117486
48367140202,8.164139344
48367140300,8.086912568
48367140403,8.243060109
48367140408,8.460131148
48367140409,8.353245902
48367140410,8.127751366
48367140411,8.224945355
48367140412,8.445448087
48367140413,8.412844262
48367140414,8.502144809
48367140415,8.309459016
48367140416,8.445262295
48367140502,7.833601093
48367140503,8.084420765
48367140504,7.963836066
48367140601,7.875043716
48367140603,7.919625683
48367140604,8.179193989
48367140707,8.414013661
48367140708,8.253256831
48367140709,8.37534153
48367140710,8.342065574
48367140711,8.283928962
48367140712,8.300191257
48367140713,8.511010929
48367140714,8.42407377
48397040101,8.710685792
48397040103,8.697510929
48397040104,8.743377049
48397040201,8.633721311
48397040202,8.662125683
48397040203,8.66720765
48397040301,8.738161202
48397040303,8.697762295
48397040304,8.675076503
48397040305,8.648363388
48397040403,8.55697541
48397040404,8.583631148
48397040405,8.513721311
48397040406,8.560224044
48397040407,8.590704918
48397040408,8.574019126
48397040409,8.513491803
48397040410,8.494404372
48397040411,8.46152459
48397040412,8.461431694
48397040503,8.654456284
48397040507,8.670237705
48397040508,8.603379781
48397040509,8.519797814
48397040510,8.709032787
48397040511,8.700325137
48397040512,8.640693989
48397040513,8.576554645
48397040514,8.475551913
48439100101,9.035177596
48439100102,9.035076503
48439100201,9.061456284
48439100202,9.04963388
48439100300,9.038090164
48439100401,9.022101093
48439100402,9.007218579
48439100503,8.991363388
48439100504,8.96684153
48439100505,8.976967213
48439100506,9.012568306
48439100601,8.763915301
48439100602,8.872486339
48439100700,8.95476776
48439100800,8.998185792
48439100900,9.024322404
48439101201,9.011434426
48439101202,9.007852459
48439101301,8.983967213
48439101302,8.966650273
48439101401,8.993737705
48439101402,8.980464481
48439101403,8.980554645
48439101500,8.985724044
48439101700,8.987308743
48439102000,8.952221311
48439102101,8.948120219
